dataset,arch,config,kind,layer,test_mean,test_std,n
emnist,deep,drop,baseline,-1,0.8500227963525836,0.0016937563265910234,7
emnist,deep,drop,prefix,0,0.08550151975683885,0.014988013203328127,7
emnist,deep,drop,prefix,1,0.11952887537993917,0.01826995201438777,7
emnist,deep,drop,prefix,2,0.12623860182370816,0.019247522869337258,7
emnist,deep,drop,prefix,3,0.1294072948328267,0.014402405826198974,7
emnist,deep,drop,prefix,4,0.09540273556230996,0.010149769559600908,7
emnist,deep,drop,single,0,0.08550151975683885,0.014988013203328127,7
emnist,deep,drop,single,1,0.42933890577507594,0.02348609275852732,7
emnist,deep,drop,single,2,0.7219300911854104,0.013215586343067905,7
emnist,deep,drop,single,3,0.7932066869300912,0.010373600318359525,7
emnist,deep,drop,single,4,0.38325987841945286,0.04388490984667451,7
emnist,deep,ln,baseline,-1,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,prefix,0,0.1369528875379939,0.014993073267565814,7
emnist,deep,ln,prefix,1,0.0850379939209726,0.009794781735745843,7
emnist,deep,ln,prefix,2,0.07889817629179327,0.008690840139001009,7
emnist,deep,ln,prefix,3,0.06536474164133735,0.003748324479996098,7
emnist,deep,ln,prefix,4,0.05956686930091182,0.006903388449130444,7
emnist,deep,ln,single,0,0.1369528875379939,0.014993073267565814,7
emnist,deep,ln,single,1,0.2085030395136778,0.0321775015631489,7
emnist,deep,ln,single,2,0.3543693009118541,0.03385050032422426,7
emnist,deep,ln,single,3,0.37838905775075987,0.02028832262784219,7
emnist,deep,ln,single,4,0.26431610942249234,0.023185783762238815,7
emnist,deep,ln_drop,baseline,-1,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,prefix,0,0.09022796352583581,0.010897927340727845,7
emnist,deep,ln_drop,prefix,1,0.12316109422492397,0.016264216110507126,7
emnist,deep,ln_drop,prefix,2,0.11316869300911848,0.011258719653782638,7
emnist,deep,ln_drop,prefix,3,0.09613981762917931,0.009779418766384222,7
emnist,deep,ln_drop,prefix,4,0.07759878419452884,0.007352776930577306,7
emnist,deep,ln_drop,single,0,0.09022796352583581,0.010897927340727845,7
emnist,deep,ln_drop,single,1,0.5560562310030396,0.03086651955372369,7
emnist,deep,ln_drop,single,2,0.7390577507598783,0.02180709894855207,7
emnist,deep,ln_drop,single,3,0.7728039513677812,0.009613382025644466,7
emnist,deep,ln_drop,single,4,0.424870820668693,0.01726536688835417,7
emnist,deep,plain,baseline,-1,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,prefix,0,0.07526595744680846,0.007386151136433016,7
emnist,deep,plain,prefix,1,0.0294376899696048,0.005584081056074624,7
emnist,deep,plain,prefix,2,0.02920212765957444,0.008713452202384278,7
emnist,deep,plain,prefix,3,0.03005319148936166,0.008918845076303084,7
emnist,deep,plain,prefix,4,0.035965045592705115,0.011002087875240789,7
emnist,deep,plain,single,0,0.07526595744680846,0.007386151136433016,7
emnist,deep,plain,single,1,0.0361474164133738,0.006726487949160628,7
emnist,deep,plain,single,2,0.06833586626139813,0.009433043084752539,7
emnist,deep,plain,single,3,0.12332826747720362,0.009798543089621517,7
emnist,deep,plain,single,4,0.166193009118541,0.023388128251377666,7
emnist,shallow,drop,baseline,-1,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,prefix,0,0.05088145896656531,0.007739672871742721,7
emnist,shallow,drop,prefix,1,0.1110866261398176,0.013072409841758328,7
emnist,shallow,drop,prefix,2,0.06072948328267471,0.008981527193954,7
emnist,shallow,drop,single,0,0.05088145896656531,0.007739672871742721,7
emnist,shallow,drop,single,1,0.4582294832826747,0.026299192667760055,7
emnist,shallow,drop,single,2,0.20944528875379936,0.028154429292916727,7
emnist,shallow,ln,baseline,-1,0.8715653495440729,0.0017045796675115709,7
emnist,shallow,ln,prefix,0,0.07860942249240117,0.012182841848971063,7
emnist,shallow,ln,prefix,1,0.06494680851063826,0.005413437360785869,7
emnist,shallow,ln,prefix,2,0.060691489361702086,0.011256296127274924,7
emnist,shallow,ln,single,0,0.07860942249240117,0.012182841848971063,7
emnist,shallow,ln,single,1,0.16133738601823705,0.019727623847911543,7
emnist,shallow,ln,single,2,0.1975303951367781,0.02287503812935566,7
emnist,shallow,ln_drop,baseline,-1,0.848822188449848,0.0015390117611833144,7
emnist,shallow,ln_drop,prefix,0,0.05862462006079024,0.006123141293367357,7
emnist,shallow,ln_drop,prefix,1,0.07328267477203641,0.017583782560278795,7
emnist,shallow,ln_drop,prefix,2,0.05381458966565346,0.011399359952049498,7
emnist,shallow,ln_drop,single,0,0.05862462006079024,0.006123141293367357,7
emnist,shallow,ln_drop,single,1,0.41963525835866256,0.027544383511173887,7
emnist,shallow,ln_drop,single,2,0.26728723404255317,0.027804279144323735,7
emnist,shallow,plain,baseline,-1,0.873647416413374,0.0011481877745666209,7
emnist,shallow,plain,prefix,0,0.06034194528875376,0.008247589120032062,7
emnist,shallow,plain,prefix,1,0.027887537993920915,0.009290444184432976,7
emnist,shallow,plain,prefix,2,0.0354331306990881,0.006303915523205426,7
emnist,shallow,plain,single,0,0.06034194528875376,0.008247589120032062,7
emnist,shallow,plain,single,1,0.03463525835866257,0.01211394289983937,7
emnist,shallow,plain,single,2,0.11397416413373855,0.024900430098422414,7
mnist,deep,drop,baseline,-1,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,prefix,0,0.5911142857142858,0.05629074608883862,7
mnist,deep,drop,prefix,1,0.7360428571428572,0.029946165984026343,7
mnist,deep,drop,prefix,2,0.7222142857142858,0.03401472370270599,7
mnist,deep,drop,prefix,3,0.7188857142857142,0.034187981736833996,7
mnist,deep,drop,prefix,4,0.7055428571428571,0.0340328692659933,7
mnist,deep,drop,single,0,0.5911142857142858,0.05629074608883862,7
mnist,deep,drop,single,1,0.9705428571428572,0.0017567556677553272,7
mnist,deep,drop,single,2,0.9856714285714286,0.0007227592630890258,7
mnist,deep,drop,single,3,0.9870428571428571,0.0007020378500174611,7
mnist,deep,drop,single,4,0.9824285714285714,0.001603864380919076,7
mnist,deep,ln,baseline,-1,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,prefix,0,0.6179571428571428,0.0336986575965501,7
mnist,deep,ln,prefix,1,0.6352,0.039511095488060914,7
mnist,deep,ln,prefix,2,0.6523000000000001,0.032933771926904026,7
mnist,deep,ln,prefix,3,0.6484285714285714,0.037857747524371356,7
mnist,deep,ln,prefix,4,0.608,0.05036165869653885,7
mnist,deep,ln,single,0,0.6179571428571428,0.0336986575965501,7
mnist,deep,ln,single,1,0.8738857142857144,0.025755221384632442,7
mnist,deep,ln,single,2,0.9677,0.003497618237219899,7
mnist,deep,ln,single,3,0.9853,0.0007831560082980272,7
mnist,deep,ln,single,4,0.9697428571428571,0.03641670208127298,7
mnist,deep,ln_drop,baseline,-1,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,prefix,0,0.5283285714285715,0.02257311928568386,7
mnist,deep,ln_drop,prefix,1,0.5316,0.03696570482668134,7
mnist,deep,ln_drop,prefix,2,0.5161571428571429,0.03456032682826057,7
mnist,deep,ln_drop,prefix,3,0.5081,0.04022014420660373,7
mnist,deep,ln_drop,prefix,4,0.48778571428571427,0.03601089782142016,7
mnist,deep,ln_drop,single,0,0.5283285714285715,0.02257311928568386,7
mnist,deep,ln_drop,single,1,0.9700714285714286,0.001249952380045319,7
mnist,deep,ln_drop,single,2,0.9849428571428572,0.0006754187413675069,7
mnist,deep,ln_drop,single,3,0.9874571428571429,0.0006267831705280405,7
mnist,deep,ln_drop,single,4,0.9839285714285715,0.0017792454259360111,7
mnist,deep,plain,baseline,-1,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,prefix,0,0.5879857142857142,0.07822862708266132,7
mnist,deep,plain,prefix,1,0.45549999999999996,0.04868880774880402,7
mnist,deep,plain,prefix,2,0.5409428571428572,0.0638583551605389,7
mnist,deep,plain,prefix,3,0.5509714285714286,0.07631847120860749,7
mnist,deep,plain,prefix,4,0.5217142857142857,0.08935613070874374,7
mnist,deep,plain,single,0,0.5879857142857142,0.07822862708266132,7
mnist,deep,plain,single,1,0.6703857142857144,0.06170373917820079,7
mnist,deep,plain,single,2,0.8939857142857143,0.046791503095164215,7
mnist,deep,plain,single,3,0.9822,0.002878657094317887,7
mnist,deep,plain,single,4,0.9548571428571428,0.04522878350279676,7
mnist,shallow,drop,baseline,-1,0.9869571428571428,0.0007976154939508732,7
mnist,shallow,drop,prefix,0,0.5095857142857143,0.08600303150803132,7
mnist,shallow,drop,prefix,1,0.7105428571428571,0.047178379834512396,7
mnist,shallow,drop,prefix,2,0.6449142857142858,0.06208991943333551,7
mnist,shallow,drop,single,0,0.5095857142857143,0.08600303150803132,7
mnist,shallow,drop,single,1,0.9610857142857142,0.004864986663711926,7
mnist,shallow,drop,single,2,0.9314714285714285,0.03932695065243483,7
mnist,shallow,ln,baseline,-1,0.9871857142857143,0.0010431180365112985,7
mnist,shallow,ln,prefix,0,0.5074142857142857,0.08122547688526115,7
mnist,shallow,ln,prefix,1,0.5859571428571428,0.08048071937101571,7
mnist,shallow,ln,prefix,2,0.5144142857142857,0.09415951763844567,7
mnist,shallow,ln,single,0,0.5074142857142857,0.08122547688526115,7
mnist,shallow,ln,single,1,0.8618142857142858,0.04223558643969279,7
mnist,shallow,ln,single,2,0.8899714285714285,0.06503618772872316,7
mnist,shallow,ln_drop,baseline,-1,0.9870428571428571,0.0009306935457982066,7
mnist,shallow,ln_drop,prefix,0,0.5414571428571429,0.019276916864725088,7
mnist,shallow,ln_drop,prefix,1,0.5254,0.023481765975610403,7
mnist,shallow,ln_drop,prefix,2,0.47821428571428576,0.027596946000806477,7
mnist,shallow,ln_drop,single,0,0.5414571428571429,0.019276916864725088,7
mnist,shallow,ln_drop,single,1,0.9684857142857143,0.0025076074728903157,7
mnist,shallow,ln_drop,single,2,0.9764857142857143,0.002864395556616065,7
mnist,shallow,plain,baseline,-1,0.9871125000000001,0.0003870677312453568,8
mnist,shallow,plain,prefix,0,0.5629500000000001,0.04684491129552617,8
mnist,shallow,plain,prefix,1,0.3893625,0.06437670247402062,8
mnist,shallow,plain,prefix,2,0.4721875,0.05565330018452245,8
mnist,shallow,plain,single,0,0.5629500000000001,0.04684491129552617,8
mnist,shallow,plain,single,1,0.6064375,0.06797333379453194,8
mnist,shallow,plain,single,2,0.857,0.06337288739786799,8
